Distrito,variable,value,Fecha
Rincón,Tipo I,48,Marzo 2019
Rio Grande,Tipo I,40,Marzo 2019
Sabana Grande,Tipo I,10,Marzo 2019
Salinas,Tipo I,46,Marzo 2019
San Germán,Tipo I,23,Marzo 2019
San Juan,Tipo I,1543,Marzo 2019
San Lorenzo,Tipo I,29,Marzo 2019
San Sebastián,Tipo I,36,Marzo 2019
Santa Isabel,Tipo I,31,Marzo 2019
Toa Alta,Tipo I,88,Marzo 2019
Toa Baja,Tipo I,213,Marzo 2019
Trujillo Alto,Tipo I,110,Marzo 2019
Utuado,Tipo I,37,Marzo 2019
Vega Alta,Tipo I,90,Marzo 2019
Vega Baja,Tipo I,162,Marzo 2019
Vieques,Tipo I,23,Marzo 2019
Villalba,Tipo I,15,Marzo 2019
Yabucoa,Tipo I,30,Marzo 2019
Yauco,Tipo I,32,Marzo 2019
Adjuntas,Ases.,0,Marzo 2019
Aguada ,Ases.,1,Marzo 2019
Aguadilla,Ases.,0,Marzo 2019
Aguas Buenas,Ases.,0,Marzo 2019
Aibonito,Ases.,1,Marzo 2019
Añasco,Ases.,2,Marzo 2019
Arecibo,Ases.,4,Marzo 2019
Arroyo,Ases.,0,Marzo 2019
Barceloneta,Ases.,0,Marzo 2019
Barranquitas,Ases.,0,Marzo 2019
Bayamón,Ases.,5,Marzo 2019
Cabo Rojo,Ases.,0,Marzo 2019
Caguas,Ases.,3,Marzo 2019
Camuy,Ases.,0,Marzo 2019
Canóvanas,Ases.,2,Marzo 2019
Carolina,Ases.,8,Marzo 2019
Cataño,Ases.,1,Marzo 2019
Cayey,Ases.,5,Marzo 2019
Ceiba,Ases.,3,Marzo 2019
Ciales,Ases.,0,Marzo 2019
Cidra,Ases.,1,Marzo 2019
Coamo,Ases.,3,Marzo 2019
Comerío,Ases.,2,Marzo 2019
Corozal,Ases.,1,Marzo 2019
Culebra,Ases.,0,Marzo 2019
Dorado,Ases.,3,Marzo 2019
Fajardo,Ases.,11,Marzo 2019
Florida,Ases.,1,Marzo 2019
Guánica,Ases.,0,Marzo 2019
Guayama,Ases.,3,Marzo 2019
Guayanilla,Ases.,0,Marzo 2019
Guaynabo,Ases.,5,Marzo 2019
Gurabo,Ases.,3,Marzo 2019
Hatillo,Ases.,1,Marzo 2019
Hormigueros,Ases.,1,Marzo 2019
Humacao,Ases.,1,Marzo 2019
Isabela,Ases.,0,Marzo 2019
Jayuya,Ases.,1,Marzo 2019
Juana Díaz,Ases.,1,Marzo 2019
Juncos,Ases.,2,Marzo 2019
Lajas,Ases.,0,Marzo 2019
Lares,Ases.,0,Marzo 2019
Las Marías,Ases.,0,Marzo 2019
Las Piedras,Ases.,2,Marzo 2019
Loiza,Ases.,2,Marzo 2019
Luquillo,Ases.,2,Marzo 2019
Manatí,Ases.,1,Marzo 2019
Maricao,Ases.,1,Marzo 2019
Maunabo,Ases.,0,Marzo 2019
Mayagüez,Ases.,1,Marzo 2019
Moca,Ases.,0,Marzo 2019
Morovis,Ases.,1,Marzo 2019
Naguabo,Ases.,1,Marzo 2019
Naranjito,Ases.,0,Marzo 2019
Orocovis,Ases.,0,Marzo 2019
Patillas,Ases.,0,Marzo 2019
Peñuelas,Ases.,0,Marzo 2019
Ponce,Ases.,9,Marzo 2019
Quebradillas,Ases.,0,Marzo 2019
Rincón,Ases.,0,Marzo 2019
Rio Grande,Ases.,2,Marzo 2019
Sabana Grande,Ases.,0,Marzo 2019
Salinas,Ases.,4,Marzo 2019
San Germán,Ases.,2,Marzo 2019
San Juan,Ases.,36,Marzo 2019
San Lorenzo,Ases.,1,Marzo 2019
San Sebastián,Ases.,0,Marzo 2019
Santa Isabel,Ases.,3,Marzo 2019
Toa Alta,Ases.,2,Marzo 2019
Toa Baja,Ases.,3,Marzo 2019
Trujillo Alto,Ases.,2,Marzo 2019
Utuado,Ases.,0,Marzo 2019
Vega Alta,Ases.,1,Marzo 2019
Vega Baja,Ases.,2,Marzo 2019
Vieques,Ases.,0,Marzo 2019
Villalba,Ases.,0,Marzo 2019
Yabucoa,Ases.,1,Marzo 2019
Yauco,Ases.,0,Marzo 2019
Adjuntas,Viol.,0,Marzo 2019
Aguada ,Viol.,3,Marzo 2019
Aguadilla,Viol.,0,Marzo 2019
Aguas Buenas,Viol.,0,Marzo 2019
Aibonito,Viol.,0,Marzo 2019
Añasco,Viol.,1,Marzo 2019
Arecibo,Viol.,3,Marzo 2019
Arroyo,Viol.,0,Marzo 2019
Barceloneta,Viol.,1,Marzo 2019
Barranquitas,Viol.,2,Marzo 2019
Bayamón,Viol.,3,Marzo 2019
Cabo Rojo,Viol.,0,Marzo 2019
Caguas,Viol.,0,Marzo 2019
Camuy,Viol.,0,Marzo 2019
Canóvanas,Viol.,4,Marzo 2019
Carolina,Viol.,1,Marzo 2019
Cataño,Viol.,0,Marzo 2019
Cayey,Viol.,0,Marzo 2019
Ceiba,Viol.,0,Marzo 2019
Ciales,Viol.,0,Marzo 2019
Cidra,Viol.,0,Marzo 2019
Coamo,Viol.,0,Marzo 2019
Comerío,Viol.,0,Marzo 2019
Corozal,Viol.,0,Marzo 2019
Culebra,Viol.,0,Marzo 2019
Dorado,Viol.,0,Marzo 2019
Fajardo,Viol.,1,Marzo 2019
Florida,Viol.,0,Marzo 2019
Guánica,Viol.,0,Marzo 2019
Guayama,Viol.,1,Marzo 2019
Guayanilla,Viol.,4,Marzo 2019
Guaynabo,Viol.,2,Marzo 2019
Gurabo,Viol.,0,Marzo 2019
Hatillo,Viol.,0,Marzo 2019
Hormigueros,Viol.,0,Marzo 2019
Humacao,Viol.,1,Marzo 2019
Isabela,Viol.,2,Marzo 2019
Jayuya,Viol.,0,Marzo 2019
Juana Díaz,Viol.,0,Marzo 2019
Juncos,Viol.,0,Marzo 2019
Lajas,Viol.,0,Marzo 2019
Lares,Viol.,0,Marzo 2019
Las Marías,Viol.,0,Marzo 2019
Las Piedras,Viol.,0,Marzo 2019
Loiza,Viol.,2,Marzo 2019
Luquillo,Viol.,0,Marzo 2019
Manatí,Viol.,0,Marzo 2019
Maricao,Viol.,0,Marzo 2019
Maunabo,Viol.,0,Marzo 2019
Mayagüez,Viol.,0,Marzo 2019
Moca,Viol.,1,Marzo 2019
Morovis,Viol.,0,Marzo 2019
Naguabo,Viol.,0,Marzo 2019
Naranjito,Viol.,0,Marzo 2019
Orocovis,Viol.,1,Marzo 2019
Patillas,Viol.,1,Marzo 2019
Peñuelas,Viol.,0,Marzo 2019
Ponce,Viol.,0,Marzo 2019
Quebradillas,Viol.,0,Marzo 2019
Rincón,Viol.,0,Marzo 2019
Rio Grande,Viol.,0,Marzo 2019
Sabana Grande,Viol.,0,Marzo 2019
Salinas,Viol.,0,Marzo 2019
San Germán,Viol.,0,Marzo 2019
San Juan,Viol.,10,Marzo 2019
San Lorenzo,Viol.,0,Marzo 2019
San Sebastián,Viol.,0,Marzo 2019
Santa Isabel,Viol.,0,Marzo 2019
Toa Alta,Viol.,1,Marzo 2019
Toa Baja,Viol.,1,Marzo 2019
Trujillo Alto,Viol.,1,Marzo 2019
Utuado,Viol.,0,Marzo 2019
Vega Alta,Viol.,0,Marzo 2019
Vega Baja,Viol.,1,Marzo 2019
Vieques,Viol.,0,Marzo 2019
Villalba,Viol.,0,Marzo 2019
Yabucoa,Viol.,2,Marzo 2019
Yauco,Viol.,0,Marzo 2019
Adjuntas,Trata Hum.,0,Marzo 2019
Aguada ,Trata Hum.,0,Marzo 2019
Aguadilla,Trata Hum.,0,Marzo 2019
Aguas Buenas,Trata Hum.,0,Marzo 2019
Aibonito,Trata Hum.,0,Marzo 2019
Añasco,Trata Hum.,0,Marzo 2019
Arecibo,Trata Hum.,0,Marzo 2019
Arroyo,Trata Hum.,0,Marzo 2019
Barceloneta,Trata Hum.,0,Marzo 2019
Barranquitas,Trata Hum.,0,Marzo 2019
Bayamón,Trata Hum.,0,Marzo 2019
Cabo Rojo,Trata Hum.,0,Marzo 2019
Caguas,Trata Hum.,0,Marzo 2019
Camuy,Trata Hum.,0,Marzo 2019
Canóvanas,Trata Hum.,0,Marzo 2019
Carolina,Trata Hum.,0,Marzo 2019
Cataño,Trata Hum.,0,Marzo 2019
Cayey,Trata Hum.,0,Marzo 2019
Ceiba,Trata Hum.,0,Marzo 2019
Ciales,Trata Hum.,0,Marzo 2019
Cidra,Trata Hum.,0,Marzo 2019
Coamo,Trata Hum.,0,Marzo 2019
Comerío,Trata Hum.,0,Marzo 2019
Corozal,Trata Hum.,0,Marzo 2019
Culebra,Trata Hum.,0,Marzo 2019
Dorado,Trata Hum.,0,Marzo 2019
Fajardo,Trata Hum.,0,Marzo 2019
Florida,Trata Hum.,0,Marzo 2019
Guánica,Trata Hum.,0,Marzo 2019
Guayama,Trata Hum.,0,Marzo 2019
Guayanilla,Trata Hum.,0,Marzo 2019
Guaynabo,Trata Hum.,0,Marzo 2019
Gurabo,Trata Hum.,0,Marzo 2019
Hatillo,Trata Hum.,0,Marzo 2019
Hormigueros,Trata Hum.,0,Marzo 2019
Humacao,Trata Hum.,1,Marzo 2019
Isabela,Trata Hum.,0,Marzo 2019
Jayuya,Trata Hum.,0,Marzo 2019
Juana Díaz,Trata Hum.,0,Marzo 2019
Juncos,Trata Hum.,0,Marzo 2019
Lajas,Trata Hum.,0,Marzo 2019
Lares,Trata Hum.,0,Marzo 2019
Las Marías,Trata Hum.,0,Marzo 2019
Las Piedras,Trata Hum.,0,Marzo 2019
Loiza,Trata Hum.,0,Marzo 2019
Luquillo,Trata Hum.,0,Marzo 2019
Manatí,Trata Hum.,0,Marzo 2019
Maricao,Trata Hum.,0,Marzo 2019
Maunabo,Trata Hum.,0,Marzo 2019
Mayagüez,Trata Hum.,0,Marzo 2019
Moca,Trata Hum.,0,Marzo 2019
Morovis,Trata Hum.,0,Marzo 2019
Naguabo,Trata Hum.,0,Marzo 2019
Naranjito,Trata Hum.,0,Marzo 2019
Orocovis,Trata Hum.,0,Marzo 2019
Patillas,Trata Hum.,0,Marzo 2019
Peñuelas,Trata Hum.,0,Marzo 2019
Ponce,Trata Hum.,0,Marzo 2019
Quebradillas,Trata Hum.,0,Marzo 2019
Rincón,Trata Hum.,0,Marzo 2019
Rio Grande,Trata Hum.,0,Marzo 2019
Sabana Grande,Trata Hum.,0,Marzo 2019
Salinas,Trata Hum.,0,Marzo 2019
San Germán,Trata Hum.,0,Marzo 2019
San Juan,Trata Hum.,0,Marzo 2019
San Lorenzo,Trata Hum.,0,Marzo 2019
San Sebastián,Trata Hum.,0,Marzo 2019
Santa Isabel,Trata Hum.,0,Marzo 2019
Toa Alta,Trata Hum.,0,Marzo 2019
Toa Baja,Trata Hum.,0,Marzo 2019
Trujillo Alto,Trata Hum.,0,Marzo 2019
Utuado,Trata Hum.,0,Marzo 2019
Vega Alta,Trata Hum.,0,Marzo 2019
Vega Baja,Trata Hum.,0,Marzo 2019
Vieques,Trata Hum.,0,Marzo 2019
Villalba,Trata Hum.,0,Marzo 2019
Yabucoa,Trata Hum.,0,Marzo 2019
Yauco,Trata Hum.,0,Marzo 2019
Adjuntas,Robo,0,Marzo 2019
Aguada ,Robo,2,Marzo 2019
Aguadilla,Robo,1,Marzo 2019
Aguas Buenas,Robo,4,Marzo 2019
Aibonito,Robo,1,Marzo 2019
Añasco,Robo,0,Marzo 2019
Arecibo,Robo,13,Marzo 2019
Arroyo,Robo,2,Marzo 2019
Barceloneta,Robo,5,Marzo 2019
Barranquitas,Robo,3,Marzo 2019
Bayamón,Robo,55,Marzo 2019
Cabo Rojo,Robo,0,Marzo 2019
Caguas,Robo,33,Marzo 2019
Camuy,Robo,4,Marzo 2019
Canóvanas,Robo,1,Marzo 2019
Carolina,Robo,39,Marzo 2019
Cataño,Robo,1,Marzo 2019
Cayey,Robo,3,Marzo 2019
Ceiba,Robo,1,Marzo 2019
Ciales,Robo,0,Marzo 2019
Cidra,Robo,3,Marzo 2019
Coamo,Robo,2,Marzo 2019
Comerío,Robo,1,Marzo 2019
Corozal,Robo,3,Marzo 2019
Culebra,Robo,1,Marzo 2019
Dorado,Robo,10,Marzo 2019
Fajardo,Robo,7,Marzo 2019
Florida,Robo,2,Marzo 2019
Guánica,Robo,1,Marzo 2019
Guayama,Robo,2,Marzo 2019
Guayanilla,Robo,2,Marzo 2019
Guaynabo,Robo,20,Marzo 2019
Gurabo,Robo,11,Marzo 2019
Hatillo,Robo,6,Marzo 2019
Hormigueros,Robo,1,Marzo 2019
Humacao,Robo,10,Marzo 2019
Isabela,Robo,1,Marzo 2019
Jayuya,Robo,0,Marzo 2019
Juana Díaz,Robo,9,Marzo 2019
Juncos,Robo,8,Marzo 2019
Lajas,Robo,0,Marzo 2019
Lares,Robo,1,Marzo 2019
Las Marías,Robo,0,Marzo 2019
Las Piedras,Robo,4,Marzo 2019
Loiza,Robo,2,Marzo 2019
Luquillo,Robo,4,Marzo 2019
Manatí,Robo,6,Marzo 2019
Maricao,Robo,1,Marzo 2019
Maunabo,Robo,0,Marzo 2019
Mayagüez,Robo,5,Marzo 2019
Moca,Robo,1,Marzo 2019
Morovis,Robo,2,Marzo 2019
Naguabo,Robo,4,Marzo 2019
Naranjito,Robo,3,Marzo 2019
Orocovis,Robo,2,Marzo 2019
Patillas,Robo,0,Marzo 2019
Peñuelas,Robo,2,Marzo 2019
Ponce,Robo,20,Marzo 2019
Quebradillas,Robo,1,Marzo 2019
Rincón,Robo,2,Marzo 2019
Rio Grande,Robo,2,Marzo 2019
Sabana Grande,Robo,0,Marzo 2019
Salinas,Robo,1,Marzo 2019
San Germán,Robo,1,Marzo 2019
San Juan,Robo,121,Marzo 2019
San Lorenzo,Robo,4,Marzo 2019
San Sebastián,Robo,0,Marzo 2019
Santa Isabel,Robo,1,Marzo 2019
Toa Alta,Robo,7,Marzo 2019
Toa Baja,Robo,21,Marzo 2019
Trujillo Alto,Robo,8,Marzo 2019
Utuado,Robo,1,Marzo 2019
Vega Alta,Robo,8,Marzo 2019
Vega Baja,Robo,19,Marzo 2019
Vieques,Robo,0,Marzo 2019
Villalba,Robo,3,Marzo 2019
Yabucoa,Robo,3,Marzo 2019
Yauco,Robo,1,Marzo 2019
Adjuntas,Agr. Grave,2,Marzo 2019
Aguada ,Agr. Grave,10,Marzo 2019
Aguadilla,Agr. Grave,18,Marzo 2019
Aguas Buenas,Agr. Grave,12,Marzo 2019
Aibonito,Agr. Grave,5,Marzo 2019
Añasco,Agr. Grave,3,Marzo 2019
Arecibo,Agr. Grave,27,Marzo 2019
Arroyo,Agr. Grave,4,Marzo 2019
Barceloneta,Agr. Grave,9,Marzo 2019
Barranquitas,Agr. Grave,6,Marzo 2019
Bayamón,Agr. Grave,25,Marzo 2019
Cabo Rojo,Agr. Grave,6,Marzo 2019
Caguas,Agr. Grave,50,Marzo 2019
Camuy,Agr. Grave,9,Marzo 2019
Canóvanas,Agr. Grave,14,Marzo 2019
Carolina,Agr. Grave,61,Marzo 2019
Cataño,Agr. Grave,3,Marzo 2019
Cayey,Agr. Grave,15,Marzo 2019
Ceiba,Agr. Grave,4,Marzo 2019
Ciales,Agr. Grave,2,Marzo 2019
Cidra,Agr. Grave,4,Marzo 2019
Coamo,Agr. Grave,4,Marzo 2019
Comerío,Agr. Grave,9,Marzo 2019
Corozal,Agr. Grave,4,Marzo 2019
Culebra,Agr. Grave,0,Marzo 2019
Dorado,Agr. Grave,11,Marzo 2019
Fajardo,Agr. Grave,20,Marzo 2019
Florida,Agr. Grave,1,Marzo 2019
Guánica,Agr. Grave,2,Marzo 2019
Guayama,Agr. Grave,13,Marzo 2019
Guayanilla,Agr. Grave,2,Marzo 2019
Guaynabo,Agr. Grave,10,Marzo 2019
Gurabo,Agr. Grave,6,Marzo 2019
Hatillo,Agr. Grave,10,Marzo 2019
Hormigueros,Agr. Grave,1,Marzo 2019
Humacao,Agr. Grave,7,Marzo 2019
Isabela,Agr. Grave,11,Marzo 2019
Jayuya,Agr. Grave,5,Marzo 2019
Juana Díaz,Agr. Grave,6,Marzo 2019
Juncos,Agr. Grave,13,Marzo 2019
Lajas,Agr. Grave,3,Marzo 2019
Lares,Agr. Grave,4,Marzo 2019
Las Marías,Agr. Grave,1,Marzo 2019
Las Piedras,Agr. Grave,9,Marzo 2019
Loiza,Agr. Grave,9,Marzo 2019
Luquillo,Agr. Grave,10,Marzo 2019
Manatí,Agr. Grave,8,Marzo 2019
Maricao,Agr. Grave,5,Marzo 2019
Maunabo,Agr. Grave,2,Marzo 2019
Mayagüez,Agr. Grave,17,Marzo 2019
Moca,Agr. Grave,2,Marzo 2019
Morovis,Agr. Grave,6,Marzo 2019
Naguabo,Agr. Grave,3,Marzo 2019
Naranjito,Agr. Grave,4,Marzo 2019
Orocovis,Agr. Grave,4,Marzo 2019
Patillas,Agr. Grave,9,Marzo 2019
Peñuelas,Agr. Grave,3,Marzo 2019
Ponce,Agr. Grave,29,Marzo 2019
Quebradillas,Agr. Grave,6,Marzo 2019
Rincón,Agr. Grave,8,Marzo 2019
Rio Grande,Agr. Grave,4,Marzo 2019
Sabana Grande,Agr. Grave,2,Marzo 2019
Salinas,Agr. Grave,16,Marzo 2019
San Germán,Agr. Grave,5,Marzo 2019
San Juan,Agr. Grave,104,Marzo 2019
San Lorenzo,Agr. Grave,7,Marzo 2019
San Sebastián,Agr. Grave,6,Marzo 2019
Santa Isabel,Agr. Grave,11,Marzo 2019
Toa Alta,Agr. Grave,3,Marzo 2019
Toa Baja,Agr. Grave,9,Marzo 2019
Trujillo Alto,Agr. Grave,16,Marzo 2019
Utuado,Agr. Grave,8,Marzo 2019
Vega Alta,Agr. Grave,8,Marzo 2019
Vega Baja,Agr. Grave,9,Marzo 2019
Vieques,Agr. Grave,5,Marzo 2019
Villalba,Agr. Grave,2,Marzo 2019
Yabucoa,Agr. Grave,9,Marzo 2019
Yauco,Agr. Grave,4,Marzo 2019
Adjuntas,Esc.,4,Marzo 2019
Aguada ,Esc.,5,Marzo 2019
Aguadilla,Esc.,20,Marzo 2019
Aguas Buenas,Esc.,9,Marzo 2019
Aibonito,Esc.,7,Marzo 2019
Añasco,Esc.,8,Marzo 2019
Arecibo,Esc.,32,Marzo 2019
Arroyo,Esc.,4,Marzo 2019
Barceloneta,Esc.,8,Marzo 2019
Barranquitas,Esc.,3,Marzo 2019
Bayamón,Esc.,90,Marzo 2019
Cabo Rojo,Esc.,11,Marzo 2019
Caguas,Esc.,33,Marzo 2019
Camuy,Esc.,13,Marzo 2019
Canóvanas,Esc.,11,Marzo 2019
Carolina,Esc.,41,Marzo 2019
Cataño,Esc.,8,Marzo 2019
Cayey,Esc.,7,Marzo 2019
Ceiba,Esc.,6,Marzo 2019
Ciales,Esc.,6,Marzo 2019
Cidra,Esc.,14,Marzo 2019
Coamo,Esc.,4,Marzo 2019
Comerío,Esc.,2,Marzo 2019
Corozal,Esc.,5,Marzo 2019
Culebra,Esc.,4,Marzo 2019
Dorado,Esc.,12,Marzo 2019
Fajardo,Esc.,11,Marzo 2019
Florida,Esc.,1,Marzo 2019
Guánica,Esc.,2,Marzo 2019
Guayama,Esc.,15,Marzo 2019
Guayanilla,Esc.,4,Marzo 2019
Guaynabo,Esc.,24,Marzo 2019
Gurabo,Esc.,10,Marzo 2019
Hatillo,Esc.,10,Marzo 2019
Hormigueros,Esc.,0,Marzo 2019
Humacao,Esc.,13,Marzo 2019
Isabela,Esc.,21,Marzo 2019
Jayuya,Esc.,9,Marzo 2019
Juana Díaz,Esc.,15,Marzo 2019
Juncos,Esc.,7,Marzo 2019
Lajas,Esc.,5,Marzo 2019
Lares,Esc.,17,Marzo 2019
Las Marías,Esc.,5,Marzo 2019
Las Piedras,Esc.,5,Marzo 2019
Loiza,Esc.,7,Marzo 2019
Luquillo,Esc.,10,Marzo 2019
Manatí,Esc.,12,Marzo 2019
Maricao,Esc.,5,Marzo 2019
Maunabo,Esc.,4,Marzo 2019
Mayagüez,Esc.,20,Marzo 2019
Moca,Esc.,10,Marzo 2019
Morovis,Esc.,1,Marzo 2019
Naguabo,Esc.,2,Marzo 2019
Naranjito,Esc.,7,Marzo 2019
Orocovis,Esc.,3,Marzo 2019
Patillas,Esc.,6,Marzo 2019
Peñuelas,Esc.,6,Marzo 2019
Ponce,Esc.,37,Marzo 2019
Quebradillas,Esc.,12,Marzo 2019
Rincón,Esc.,5,Marzo 2019
Rio Grande,Esc.,12,Marzo 2019
Sabana Grande,Esc.,1,Marzo 2019
Salinas,Esc.,7,Marzo 2019
San Germán,Esc.,5,Marzo 2019
San Juan,Esc.,164,Marzo 2019
San Lorenzo,Esc.,7,Marzo 2019
San Sebastián,Esc.,5,Marzo 2019
Santa Isabel,Esc.,1,Marzo 2019
Toa Alta,Esc.,10,Marzo 2019
Toa Baja,Esc.,21,Marzo 2019
Trujillo Alto,Esc.,15,Marzo 2019
Utuado,Esc.,7,Marzo 2019
Vega Alta,Esc.,17,Marzo 2019
Vega Baja,Esc.,31,Marzo 2019
Vieques,Esc.,3,Marzo 2019
Villalba,Esc.,3,Marzo 2019
Yabucoa,Esc.,9,Marzo 2019
Yauco,Esc.,3,Marzo 2019
Adjuntas,Apr. I,4,Marzo 2019
Aguada ,Apr. I,19,Marzo 2019
Aguadilla,Apr. I,62,Marzo 2019
Aguas Buenas,Apr. I,16,Marzo 2019
Aibonito,Apr. I,6,Marzo 2019
Añasco,Apr. I,13,Marzo 2019
Arecibo,Apr. I,69,Marzo 2019
Arroyo,Apr. I,6,Marzo 2019
Barceloneta,Apr. I,41,Marzo 2019
Barranquitas,Apr. I,20,Marzo 2019
Bayamón,Apr. I,339,Marzo 2019
Cabo Rojo,Apr. I,30,Marzo 2019
Caguas,Apr. I,190,Marzo 2019
Camuy,Apr. I,37,Marzo 2019
Canóvanas,Apr. I,31,Marzo 2019
Carolina,Apr. I,251,Marzo 2019
Cataño,Apr. I,20,Marzo 2019
Cayey,Apr. I,35,Marzo 2019
Ceiba,Apr. I,6,Marzo 2019
Ciales,Apr. I,15,Marzo 2019
Cidra,Apr. I,19,Marzo 2019
Coamo,Apr. I,17,Marzo 2019
Comerío,Apr. I,8,Marzo 2019
Corozal,Apr. I,15,Marzo 2019
Culebra,Apr. I,4,Marzo 2019
Dorado,Apr. I,42,Marzo 2019
Fajardo,Apr. I,33,Marzo 2019
Florida,Apr. I,6,Marzo 2019
Guánica,Apr. I,5,Marzo 2019
Guayama,Apr. I,42,Marzo 2019
Guayanilla,Apr. I,9,Marzo 2019
Guaynabo,Apr. I,115,Marzo 2019
Gurabo,Apr. I,12,Marzo 2019
Hatillo,Apr. I,52,Marzo 2019
Hormigueros,Apr. I,6,Marzo 2019
Humacao,Apr. I,40,Marzo 2019
Isabela,Apr. I,54,Marzo 2019
Jayuya,Apr. I,7,Marzo 2019
Juana Díaz,Apr. I,14,Marzo 2019
Juncos,Apr. I,28,Marzo 2019
Lajas,Apr. I,13,Marzo 2019
Lares,Apr. I,23,Marzo 2019
Las Marías,Apr. I,0,Marzo 2019
Las Piedras,Apr. I,13,Marzo 2019
Loiza,Apr. I,24,Marzo 2019
Luquillo,Apr. I,24,Marzo 2019
Manatí,Apr. I,55,Marzo 2019
Maricao,Apr. I,4,Marzo 2019
Maunabo,Apr. I,3,Marzo 2019
Mayagüez,Apr. I,84,Marzo 2019
Moca,Apr. I,19,Marzo 2019
Morovis,Apr. I,14,Marzo 2019
Naguabo,Apr. I,12,Marzo 2019
Naranjito,Apr. I,24,Marzo 2019
Orocovis,Apr. I,19,Marzo 2019
Patillas,Apr. I,9,Marzo 2019
Peñuelas,Apr. I,4,Marzo 2019
Ponce,Apr. I,176,Marzo 2019
Quebradillas,Apr. I,24,Marzo 2019
Rincón,Apr. I,33,Marzo 2019
Rio Grande,Apr. I,17,Marzo 2019
Sabana Grande,Apr. I,7,Marzo 2019
Salinas,Apr. I,15,Marzo 2019
San Germán,Apr. I,10,Marzo 2019
San Juan,Apr. I,755,Marzo 2019
San Lorenzo,Apr. I,5,Marzo 2019
San Sebastián,Apr. I,23,Marzo 2019
Santa Isabel,Apr. I,13,Marzo 2019
Toa Alta,Apr. I,49,Marzo 2019
Toa Baja,Apr. I,95,Marzo 2019
Trujillo Alto,Apr. I,61,Marzo 2019
Utuado,Apr. I,21,Marzo 2019
Vega Alta,Apr. I,42,Marzo 2019
Vega Baja,Apr. I,85,Marzo 2019
Vieques,Apr. I,12,Marzo 2019
Villalba,Apr. I,5,Marzo 2019
Yabucoa,Apr. I,5,Marzo 2019
Yauco,Apr. I,22,Marzo 2019
Adjuntas,H. Auto,0,Marzo 2019
Aguada ,H. Auto,0,Marzo 2019
Aguadilla,H. Auto,2,Marzo 2019
Aguas Buenas,H. Auto,4,Marzo 2019
Aibonito,H. Auto,1,Marzo 2019
Añasco,H. Auto,1,Marzo 2019
Arecibo,H. Auto,14,Marzo 2019
Arroyo,H. Auto,1,Marzo 2019
Barceloneta,H. Auto,10,Marzo 2019
Barranquitas,H. Auto,7,Marzo 2019
Bayamón,H. Auto,256,Marzo 2019
Cabo Rojo,H. Auto,4,Marzo 2019
Caguas,H. Auto,33,Marzo 2019
Camuy,H. Auto,1,Marzo 2019
Canóvanas,H. Auto,10,Marzo 2019
